Region,year,value,housing_costs,poverty_type
Wales,94-97,53,After Housing Costs,Absolute poverty
UK,94-97,50,After Housing Costs,Absolute poverty
Wales,95-98,50,After Housing Costs,Absolute poverty
UK,95-98,48,After Housing Costs,Absolute poverty
Wales,96-99,48,After Housing Costs,Absolute poverty
UK,96-99,46,After Housing Costs,Absolute poverty
Wales,97-00,47,After Housing Costs,Absolute poverty
UK,97-00,44,After Housing Costs,Absolute poverty
Wales,98-01,45,After Housing Costs,Absolute poverty
UK,98-01,42,After Housing Costs,Absolute poverty
Wales,99-02,41,After Housing Costs,Absolute poverty
UK,99-02,39,After Housing Costs,Absolute poverty
Wales,00-03,38,After Housing Costs,Absolute poverty
UK,00-03,35,After Housing Costs,Absolute poverty
Wales,01-04,34,After Housing Costs,Absolute poverty
UK,01-04,32,After Housing Costs,Absolute poverty
Wales,02-05,33,After Housing Costs,Absolute poverty
UK,02-05,30,After Housing Costs,Absolute poverty
Wales,03-06,30,After Housing Costs,Absolute poverty
UK,03-06,30,After Housing Costs,Absolute poverty
Wales,04-07,31,After Housing Costs,Absolute poverty
UK,04-07,30,After Housing Costs,Absolute poverty
Wales,05-08,33,After Housing Costs,Absolute poverty
UK,05-08,31,After Housing Costs,Absolute poverty
Wales,06-09,32,After Housing Costs,Absolute poverty
UK,06-09,31,After Housing Costs,Absolute poverty
Wales,07-10,32,After Housing Costs,Absolute poverty
UK,07-10,30,After Housing Costs,Absolute poverty
Wales,08-11,31,After Housing Costs,Absolute poverty
UK,08-11,29,After Housing Costs,Absolute poverty
Wales,09-12,33,After Housing Costs,Absolute poverty
UK,09-12,28,After Housing Costs,Absolute poverty
Wales,10-13,33,After Housing Costs,Absolute poverty
UK,10-13,28,After Housing Costs,Absolute poverty
Wales,11-14,32,After Housing Costs,Absolute poverty
UK,11-14,29,After Housing Costs,Absolute poverty
Wales,12-15,30,After Housing Costs,Absolute poverty
UK,12-15,28,After Housing Costs,Absolute poverty
Wales,13-16,28,After Housing Costs,Absolute poverty
UK,13-16,28,After Housing Costs,Absolute poverty
Wales,14-17,26,After Housing Costs,Absolute poverty
UK,14-17,27,After Housing Costs,Absolute poverty
Wales,15-18,26,After Housing Costs,Absolute poverty
UK,15-18,26,After Housing Costs,Absolute poverty
Wales,94-97,50,Before Housing Costs,Absolute poverty
UK,94-97,44,Before Housing Costs,Absolute poverty
Wales,95-98,47,Before Housing Costs,Absolute poverty
UK,95-98,43,Before Housing Costs,Absolute poverty
Wales,96-99,45,Before Housing Costs,Absolute poverty
UK,96-99,41,Before Housing Costs,Absolute poverty
Wales,97-00,45,Before Housing Costs,Absolute poverty
UK,97-00,39,Before Housing Costs,Absolute poverty
Wales,98-01,43,Before Housing Costs,Absolute poverty
UK,98-01,37,Before Housing Costs,Absolute poverty
Wales,99-02,39,Before Housing Costs,Absolute poverty
UK,99-02,33,Before Housing Costs,Absolute poverty
Wales,00-03,35,Before Housing Costs,Absolute poverty
UK,00-03,29,Before Housing Costs,Absolute poverty
Wales,01-04,31,Before Housing Costs,Absolute poverty
UK,01-04,27,Before Housing Costs,Absolute poverty
Wales,02-05,29,Before Housing Costs,Absolute poverty
UK,02-05,25,Before Housing Costs,Absolute poverty
Wales,03-06,28,Before Housing Costs,Absolute poverty
UK,03-06,24,Before Housing Costs,Absolute poverty
Wales,04-07,28,Before Housing Costs,Absolute poverty
UK,04-07,23,Before Housing Costs,Absolute poverty
Wales,05-08,28,Before Housing Costs,Absolute poverty
UK,05-08,23,Before Housing Costs,Absolute poverty
Wales,06-09,26,Before Housing Costs,Absolute poverty
UK,06-09,22,Before Housing Costs,Absolute poverty
Wales,07-10,25,Before Housing Costs,Absolute poverty
UK,07-10,21,Before Housing Costs,Absolute poverty
Wales,08-11,22,Before Housing Costs,Absolute poverty
UK,08-11,19,Before Housing Costs,Absolute poverty
Wales,09-12,24,Before Housing Costs,Absolute poverty
UK,09-12,19,Before Housing Costs,Absolute poverty
Wales,10-13,23,Before Housing Costs,Absolute poverty
UK,10-13,19,Before Housing Costs,Absolute poverty
Wales,11-14,23,Before Housing Costs,Absolute poverty
UK,11-14,19,Before Housing Costs,Absolute poverty
Wales,12-15,21,Before Housing Costs,Absolute poverty
UK,12-15,18,Before Housing Costs,Absolute poverty
Wales,13-16,19,Before Housing Costs,Absolute poverty
UK,13-16,17,Before Housing Costs,Absolute poverty
Wales,14-17,17,Before Housing Costs,Absolute poverty
UK,14-17,17,Before Housing Costs,Absolute poverty
Wales,15-18,16,Before Housing Costs,Absolute poverty
UK,15-18,17,Before Housing Costs,Absolute poverty
Wales,94-97,29,Before Housing Costs,Relative poverty
UK,94-97,25,Before Housing Costs,Relative poverty
Wales,95-98,31,Before Housing Costs,Relative poverty
UK,95-98,26,Before Housing Costs,Relative poverty
Wales,96-99,30,Before Housing Costs,Relative poverty
UK,96-99,27,Before Housing Costs,Relative poverty
Wales,97-00,30,Before Housing Costs,Relative poverty
UK,97-00,26,Before Housing Costs,Relative poverty
Wales,98-01,29,Before Housing Costs,Relative poverty
UK,98-01,25,Before Housing Costs,Relative poverty
Wales,99-02,28,Before Housing Costs,Relative poverty
UK,99-02,24,Before Housing Costs,Relative poverty
Wales,00-03,28,Before Housing Costs,Relative poverty
UK,00-03,23,Before Housing Costs,Relative poverty
Wales,01-04,27,Before Housing Costs,Relative poverty
UK,01-04,22,Before Housing Costs,Relative poverty
Wales,02-05,25,Before Housing Costs,Relative poverty
UK,02-05,22,Before Housing Costs,Relative poverty
Wales,03-06,23,Before Housing Costs,Relative poverty
UK,03-06,22,Before Housing Costs,Relative poverty
Wales,04-07,25,Before Housing Costs,Relative poverty
UK,04-07,22,Before Housing Costs,Relative poverty
Wales,05-08,27,Before Housing Costs,Relative poverty
UK,05-08,22,Before Housing Costs,Relative poverty
Wales,06-09,26,Before Housing Costs,Relative poverty
UK,06-09,22,Before Housing Costs,Relative poverty
Wales,07-10,26,Before Housing Costs,Relative poverty
UK,07-10,22,Before Housing Costs,Relative poverty
Wales,08-11,23,Before Housing Costs,Relative poverty
UK,08-11,20,Before Housing Costs,Relative poverty
Wales,09-12,23,Before Housing Costs,Relative poverty
UK,09-12,18,Before Housing Costs,Relative poverty
Wales,10-13,22,Before Housing Costs,Relative poverty
UK,10-13,18,Before Housing Costs,Relative poverty
Wales,11-14,22,Before Housing Costs,Relative poverty
UK,11-14,17,Before Housing Costs,Relative poverty
Wales,12-15,20,Before Housing Costs,Relative poverty
UK,12-15,18,Before Housing Costs,Relative poverty
Wales,13-16,20,Before Housing Costs,Relative poverty
UK,13-16,19,Before Housing Costs,Relative poverty
Wales,14-17,19,Before Housing Costs,Relative poverty
UK,14-17,19,Before Housing Costs,Relative poverty
Wales,15-18,20,Before Housing Costs,Relative poverty
UK,15-18,20,Before Housing Costs,Relative poverty
Wales,94-97,36,After Housing Costs,Relative poverty
UK,94-97,33,After Housing Costs,Relative poverty
Wales,95-98,37,After Housing Costs,Relative poverty
UK,95-98,33,After Housing Costs,Relative poverty
Wales,96-99,36,After Housing Costs,Relative poverty
UK,96-99,34,After Housing Costs,Relative poverty
Wales,97-00,36,After Housing Costs,Relative poverty
UK,97-00,33,After Housing Costs,Relative poverty
Wales,98-01,35,After Housing Costs,Relative poverty
UK,98-01,33,After Housing Costs,Relative poverty
Wales,99-02,34,After Housing Costs,Relative poverty
UK,99-02,31,After Housing Costs,Relative poverty
Wales,00-03,34,After Housing Costs,Relative poverty
UK,00-03,30,After Housing Costs,Relative poverty
Wales,01-04,31,After Housing Costs,Relative poverty
UK,01-04,30,After Housing Costs,Relative poverty
Wales,02-05,31,After Housing Costs,Relative poverty
UK,02-05,29,After Housing Costs,Relative poverty
Wales,03-06,29,After Housing Costs,Relative poverty
UK,03-06,29,After Housing Costs,Relative poverty
Wales,04-07,30,After Housing Costs,Relative poverty
