Commodity or service,United Kingdom,England,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Northern Ireland
Food and non-alcoholic drinks,58.5,59,51.9,55.6,52.9,58.5,56.3,61.6,62.4,64.1,60.5,53.5,55,63.1
"Alcoholic drinks, tobacco and narcotics",11.9,11.6,12.1,12.3,11.7,12.9,11.2,11.5,10.2,12.1,11.5,11.8,13.2,16.2
Clothing and footwear,24.3,24.4,23,23.9,21.7,23.5,23.7,25.3,27.1,27.1,21.4,21.5,22.5,30.9
"Housing(net)1, fuel and power",73.7,76.5,53.8,62.7,64.2,67.1,66.6,69.8,124.2,77.4,74.4,56.2,63.1,53.4
Household goods and services,38.5,39.4,39.8,34.7,38.9,37.8,32.3,36.2,43.2,49.3,37.1,35.6,33.8,31.5
Health,7.1,7.5,4.1,5.9,7,6.4,5.5,8.9,8,10,8.6,5,4.9,6.4
Transport,77.8,79.4,62.9,71.8,73.9,77.7,67.5,87.5,75.1,99.1,83.6,69.6,68.2,72.7
Communication,17,17.1,14.7,16,16.4,16.6,16.2,17.3,19.3,18.6,16.3,15.8,16.4,17.2
Recreation and culture,72,73.4,72.8,67.4,72.7,66.6,63.5,75.3,64.4,93.5,77.6,63.4,69.4,53.6
Education,7.1,7.7,2,4,6.7,6.6,4.7,6.1,15.7,10.1,7.2,1.6,5.3,5.6
Restaurants and hotels,48.3,49.5,40.3,45.5,47.5,46.1,40.5,49.9,62.3,53.9,48.3,38.6,42.3,46.7
Miscellaneous goods and services,41.7,42.6,30.8,38.7,37.7,41.4,38,47.2,46.3,50.5,41.7,37.4,35.1,40.7
Other expenditure items,74,76.7,49.3,62.8,69.5,72.4,58.6,73.3,100.2,91.8,84.2,60.6,62.8,50.5
