Commodity or service,United Kingdom,England,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland,Northern Ireland
Food and non-alcoholic drinks,58.2,58.6,49.6,54.8,51.4,57.8,55.8,61.7,62.6,64.2,60.4,53.2,56.1,64.2
"Alcoholic drinks, tobacco and narcotics",11.9,11.5,11.8,12.6,11.7,12.1,11,11.9,9.6,12.5,10.7,10.7,14.6,15.6
Clothing and footwear,23.4,23.2,20.4,22.9,21.9,20.9,22.1,25.1,25.8,25.6,20.2,21.3,21.7,37.8
"Housing(net)1, fuel and power",73.4,76.2,55.8,64.2,64,67.6,66.5,72.5,117.9,79.5,71.4,59.5,61,53.7
Household goods and services,34.8,35.3,35.4,32.4,31.1,34.6,30.9,36.7,41.7,38.7,32.9,33.4,31,33
Health,7,7.4,3.9,6.4,8.2,6.5,4.7,9.4,7.8,9.4,7.9,3.9,4.6,6
Transport,72.6,73.2,52.1,62.6,63.7,72.9,62.9,85.9,71.7,91.9,76.3,63.3,74,66.3
Communication,15.4,15.5,13.4,14.7,14.2,16.1,14.3,15.7,17.4,16.9,14.8,14.1,14.3,17.5
Recreation and culture,67.7,68.9,60.1,65.2,66.4,67.9,54.6,72.6,72.6,82.1,65.9,60.3,63.2,59.5
Education,8,8.5,2.2,2.6,7.1,15.8,2.9,8.4,17,7.5,9.5,2.1,7.6,4.5
Restaurants and hotels,43.1,43.8,36.4,38.8,41.1,36.6,36.5,47.2,55.8,49.1,41.9,33,39.1,50.2
Miscellaneous goods and services,39.7,40.6,29.3,35.7,34,37.7,36.1,49.3,44.9,48,39.4,34.5,33.6,40.6
Other expenditure items,72.1,74.7,53.2,59.4,61.4,67.5,55.9,75.5,107.5,86.2,77.5,57.7,61,53.6
