"year","area","housing_costs","rel_poverty","type"
1994,"wales","bhc",22,"overall"
1995,"wales","bhc",23,"overall"
1996,"wales","bhc",23,"overall"
1997,"wales","bhc",23,"overall"
1998,"wales","bhc",22,"overall"
1999,"wales","bhc",22,"overall"
2000,"wales","bhc",21,"overall"
2001,"wales","bhc",21,"overall"
2002,"wales","bhc",21,"overall"
2003,"wales","bhc",20,"overall"
2004,"wales","bhc",20,"overall"
2005,"wales","bhc",21,"overall"
2006,"wales","bhc",21,"overall"
2007,"wales","bhc",20,"overall"
2008,"wales","bhc",19,"overall"
2009,"wales","bhc",19,"overall"
2010,"wales","bhc",19,"overall"
2011,"wales","bhc",19,"overall"
2012,"wales","bhc",19,"overall"
2013,"wales","bhc",20,"overall"
2014,"wales","bhc",20,"overall"
1994,"united.kingdom","bhc",19,"overall"
1995,"united.kingdom","bhc",19,"overall"
1996,"united.kingdom","bhc",19,"overall"
1997,"united.kingdom","bhc",19,"overall"
1998,"united.kingdom","bhc",19,"overall"
1999,"united.kingdom","bhc",19,"overall"
2000,"united.kingdom","bhc",18,"overall"
2001,"united.kingdom","bhc",18,"overall"
2002,"united.kingdom","bhc",17,"overall"
2003,"united.kingdom","bhc",17,"overall"
2004,"united.kingdom","bhc",17,"overall"
2005,"united.kingdom","bhc",18,"overall"
2006,"united.kingdom","bhc",18,"overall"
2007,"united.kingdom","bhc",18,"overall"
2008,"united.kingdom","bhc",17,"overall"
2009,"united.kingdom","bhc",16,"overall"
2010,"united.kingdom","bhc",16,"overall"
2011,"united.kingdom","bhc",15,"overall"
2012,"united.kingdom","bhc",16,"overall"
2013,"united.kingdom","bhc",16,"overall"
2014,"united.kingdom","bhc",16,"overall"
1994,"wales","ahc",27,"overall"
1995,"wales","ahc",27,"overall"
1996,"wales","ahc",27,"overall"
1997,"wales","ahc",26,"overall"
1998,"wales","ahc",25,"overall"
1999,"wales","ahc",25,"overall"
2000,"wales","ahc",25,"overall"
2001,"wales","ahc",24,"overall"
2002,"wales","ahc",23,"overall"
2003,"wales","ahc",22,"overall"
2004,"wales","ahc",22,"overall"
2005,"wales","ahc",24,"overall"
2006,"wales","ahc",23,"overall"
2007,"wales","ahc",23,"overall"
2008,"wales","ahc",22,"overall"
2009,"wales","ahc",23,"overall"
2010,"wales","ahc",23,"overall"
2011,"wales","ahc",23,"overall"
2012,"wales","ahc",23,"overall"
2013,"wales","ahc",23,"overall"
2014,"wales","ahc",24,"overall"
1994,"united.kingdom","ahc",25,"overall"
