"year","area","housing_costs","child","overall"
1994,"united.kingdom","bhc",25,19
1994,"united.kingdom","ahc",33,25
1994,"wales","bhc",29,22
1994,"wales","ahc",36,27
1995,"united.kingdom","bhc",26,19
1995,"united.kingdom","ahc",33,25
1995,"wales","bhc",31,23
1995,"wales","ahc",37,27
1996,"united.kingdom","bhc",27,19
1996,"united.kingdom","ahc",34,25
1996,"wales","bhc",30,23
1996,"wales","ahc",36,27
1997,"united.kingdom","bhc",26,19
1997,"united.kingdom","ahc",33,24
1997,"wales","bhc",30,23
1997,"wales","ahc",36,26
1998,"united.kingdom","bhc",25,19
1998,"united.kingdom","ahc",33,24
1998,"wales","bhc",29,22
1998,"wales","ahc",35,25
1999,"united.kingdom","bhc",24,19
1999,"united.kingdom","ahc",31,23
1999,"wales","bhc",28,22
1999,"wales","ahc",34,25
2000,"united.kingdom","bhc",23,18
2000,"united.kingdom","ahc",30,23
2000,"wales","bhc",28,21
2000,"wales","ahc",34,25
2001,"united.kingdom","bhc",22,18
2001,"united.kingdom","ahc",30,22
2001,"wales","bhc",27,21
2001,"wales","ahc",31,24
2002,"united.kingdom","bhc",22,17
2002,"united.kingdom","ahc",29,21
2002,"wales","bhc",25,21
2002,"wales","ahc",31,23
2003,"united.kingdom","bhc",22,17
2003,"united.kingdom","ahc",29,21
2003,"wales","bhc",23,20
2003,"wales","ahc",29,22
2004,"united.kingdom","bhc",22,17
2004,"united.kingdom","ahc",30,21
2004,"wales","bhc",25,20
2004,"wales","ahc",30,22
2005,"united.kingdom","bhc",22,18
2005,"united.kingdom","ahc",31,22
2005,"wales","bhc",27,21
2005,"wales","ahc",33,24
2006,"united.kingdom","bhc",22,18
2006,"united.kingdom","ahc",31,22
2006,"wales","bhc",26,21
2006,"wales","ahc",32,23
2007,"united.kingdom","bhc",22,18
2007,"united.kingdom","ahc",30,22
2007,"wales","bhc",26,20
2007,"wales","ahc",33,23
2008,"united.kingdom","bhc",20,17
2008,"united.kingdom","ahc",29,22
2008,"wales","bhc",23,19
2008,"wales","ahc",31,22
2009,"united.kingdom","bhc",18,16
2009,"united.kingdom","ahc",28,21
2009,"wales","bhc",23,19
2009,"wales","ahc",33,23
2010,"united.kingdom","bhc",18,16
2010,"united.kingdom","ahc",27,21
2010,"wales","bhc",22,19
2010,"wales","ahc",32,23
2011,"united.kingdom","bhc",17,15
2011,"united.kingdom","ahc",27,21
2011,"wales","bhc",22,19
2011,"wales","ahc",31,23
2012,"united.kingdom","bhc",18,16
2012,"united.kingdom","ahc",28,21
2012,"wales","bhc",20,19
2012,"wales","ahc",29,23
2013,"united.kingdom","bhc",19,16
2013,"united.kingdom","ahc",29,21
2013,"wales","bhc",20,20
2013,"wales","ahc",30,23
2014,"united.kingdom","bhc",19,16
2014,"united.kingdom","ahc",30,22
2014,"wales","bhc",19,20
2014,"wales","ahc",28,24
